,name,loss_test
0,auxiliary,51.15047836303711
1,auxiliary,42.38014197349548
2,auxiliary,36.77831673622131
3,auxiliary,23.901718497276306
4,auxiliary,20.31738245487213
5,auxiliary,14.794230103492737
6,auxiliary,10.6582071185112
7,auxiliary,9.0082728266716
8,auxiliary,8.661934435367584
9,auxiliary,8.984205424785614
10,auxiliary,7.484629392623901
11,auxiliary,6.8074235916137695
12,auxiliary,6.71055269241333
13,auxiliary,8.222377002239227
14,auxiliary,6.571297287940979
15,auxiliary,6.574462473392487
16,auxiliary,6.280403882265091
17,auxiliary,6.393245697021484
18,auxiliary,6.450988471508026
19,auxiliary,6.483006477355957
20,auxiliary,7.114405184984207
21,auxiliary,14.725003838539124
22,auxiliary,6.4177945256233215
23,auxiliary,6.211237698793411
24,auxiliary,6.345550715923309
