,name,loss_test
0,simple,7.019640922546387
1,simple,6.6400721073150635
2,simple,6.443226635456085
3,simple,5.936918497085571
4,simple,5.570680350065231
5,simple,5.340276300907135
6,simple,4.965499311685562
7,simple,4.8823612332344055
8,simple,4.751003086566925
9,simple,4.563688278198242
10,simple,4.782372295856476
11,simple,4.075628906488419
12,simple,4.99730521440506
13,simple,3.943723440170288
14,simple,4.437000781297684
15,simple,3.797142416238785
16,simple,4.5334154069423676
17,simple,4.323654115200043
18,simple,3.954945147037506
19,simple,4.389778017997742
20,simple,4.749085456132889
21,simple,3.844277858734131
22,simple,3.8409198075532913
23,simple,4.84878870844841
24,simple,3.7348664849996567
