,name,loss_train
0,auxiliary,51.056307792663574
1,auxiliary,42.15961670875549
2,auxiliary,37.31165862083435
3,auxiliary,23.51962637901306
4,auxiliary,19.718771934509277
5,auxiliary,14.091142416000366
6,auxiliary,9.809137463569641
7,auxiliary,7.955818712711334
8,auxiliary,7.031239032745361
9,auxiliary,7.282967567443848
10,auxiliary,5.893494516611099
11,auxiliary,4.735321402549744
12,auxiliary,4.289172798395157
13,auxiliary,5.509212613105774
14,auxiliary,4.055189490318298
15,auxiliary,3.65729883313179
16,auxiliary,2.969557613134384
17,auxiliary,2.7563543021678925
18,auxiliary,2.4484675228595734
19,auxiliary,2.1295131891965866
20,auxiliary,2.451869234442711
21,auxiliary,9.455550506711006
22,auxiliary,3.107234835624695
23,auxiliary,2.133083075284958
24,auxiliary,1.6038190200924873
