,name,loss_train
0,simple,6.904459774494171
1,simple,6.473117411136627
2,simple,6.222458839416504
3,simple,5.699814081192017
4,simple,5.324750691652298
5,simple,5.024235099554062
6,simple,4.601874768733978
7,simple,4.456556349992752
8,simple,4.2023259699344635
9,simple,3.979391485452652
10,simple,3.988154262304306
11,simple,3.447676509618759
12,simple,4.360708624124527
13,simple,3.142326593399048
14,simple,3.5260851681232452
15,simple,2.7289042323827744
16,simple,3.0642586052417755
17,simple,3.311995178461075
18,simple,2.59978187084198
19,simple,2.8515209704637527
20,simple,2.835623785853386
21,simple,2.1452651917934418
22,simple,1.7603965401649475
23,simple,3.1387503296136856
24,simple,1.7450142949819565
