,name,loss_test
0,siamese,6.970941483974457
1,siamese,6.239378213882446
2,siamese,5.469874083995819
3,siamese,4.846552312374115
4,siamese,4.497087121009827
5,siamese,4.220923155546188
6,siamese,3.9812296330928802
7,siamese,3.787400782108307
8,siamese,3.629516065120697
9,siamese,3.516372799873352
10,siamese,3.432549625635147
11,siamese,3.375850796699524
12,siamese,3.3409471660852432
13,siamese,3.326655626296997
14,siamese,3.3263291716575623
15,siamese,3.327202782034874
16,siamese,3.349225327372551
17,siamese,3.373791605234146
18,siamese,3.3988559544086456
19,siamese,3.4458046704530716
20,siamese,3.494709089398384
21,siamese,3.5507842153310776
22,siamese,3.6062783896923065
23,siamese,3.66405688226223
24,siamese,3.7177796363830566
